[02:51:38] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.3
[02:51:38] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[02:51:38] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/MSXtest/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[02:51:43] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[02:51:45] [main/INFO]: Loaded 7 recipes
[02:51:45] [main/INFO]: Loaded 1271 advancements
[02:51:45] [Server thread/INFO]: Starting minecraft server version 1.20.1
[02:51:45] [Server thread/INFO]: Loading properties
[02:51:45] [Server thread/INFO]: Default game type: SURVIVAL
[02:51:45] [Server thread/INFO]: Generating keypair
[02:51:45] [Server thread/INFO]: Starting Minecraft server on *:25565
[02:51:45] [Server thread/INFO]: Using epoll channel type
[02:51:45] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[02:51:45] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[02:51:45] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[02:51:45] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[02:51:45] [Server thread/INFO]: Preparing level "world"
[02:51:51] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[02:51:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:51:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:51:52] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[02:51:52] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:51:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:51:53] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:51:54] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[02:51:54] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[02:51:55] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[02:51:55] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[02:51:56] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[02:51:56] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[02:51:57] [Worker-Main-3/INFO]: Preparing spawn area: 6%
[02:51:57] [Worker-Main-3/INFO]: Preparing spawn area: 7%
[02:51:58] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[02:51:58] [Worker-Main-3/INFO]: Preparing spawn area: 10%
[02:51:59] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[02:51:59] [Worker-Main-3/INFO]: Preparing spawn area: 14%
[02:52:00] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[02:52:00] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[02:52:01] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[02:52:01] [Worker-Main-1/INFO]: Preparing spawn area: 22%
[02:52:02] [Worker-Main-1/INFO]: Preparing spawn area: 24%
[02:52:02] [Worker-Main-2/INFO]: Preparing spawn area: 26%
[02:52:03] [Worker-Main-1/INFO]: Preparing spawn area: 28%
[02:52:03] [Worker-Main-3/INFO]: Preparing spawn area: 31%
[02:52:04] [Worker-Main-1/INFO]: Preparing spawn area: 32%
[02:52:04] [Worker-Main-1/INFO]: Preparing spawn area: 34%
[02:52:05] [Worker-Main-1/INFO]: Preparing spawn area: 37%
[02:52:05] [Worker-Main-3/INFO]: Preparing spawn area: 40%
[02:52:06] [Worker-Main-1/INFO]: Preparing spawn area: 42%
[02:52:06] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[02:52:07] [Worker-Main-1/INFO]: Preparing spawn area: 46%
[02:52:07] [Worker-Main-1/INFO]: Preparing spawn area: 50%
[02:52:08] [Worker-Main-3/INFO]: Preparing spawn area: 53%
[02:52:08] [Worker-Main-3/INFO]: Preparing spawn area: 55%
[02:52:09] [Worker-Main-1/INFO]: Preparing spawn area: 57%
[02:52:09] [Worker-Main-1/INFO]: Preparing spawn area: 60%
[02:52:10] [Worker-Main-1/INFO]: Preparing spawn area: 63%
[02:52:10] [Worker-Main-3/INFO]: Preparing spawn area: 67%
[02:52:11] [Worker-Main-3/INFO]: Preparing spawn area: 69%
[02:52:11] [Worker-Main-3/INFO]: Preparing spawn area: 72%
[02:52:12] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[02:52:12] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[02:52:13] [Worker-Main-2/INFO]: Preparing spawn area: 82%
[02:52:13] [Worker-Main-3/INFO]: Preparing spawn area: 84%
[02:52:14] [Worker-Main-1/INFO]: Preparing spawn area: 87%
[02:52:14] [Worker-Main-3/INFO]: Preparing spawn area: 89%
[02:52:15] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[02:52:15] [Worker-Main-2/INFO]: Preparing spawn area: 95%
[02:52:16] [Server thread/INFO]: Time elapsed: 24989 ms
[02:52:16] [Server thread/INFO]: Done (30.203s)! For help, type "help"
